epoch,lossTrain,lossVal,accuracyTrain,accuracyVal,accuracyTest
1,1.9751199445724488,1.856309222984314,0.279375,0.3441,0.3419
2,1.8049538124084472,1.7459474422454835,0.35375,0.3825,0.3852
3,1.7305117714881897,1.7008413009643555,0.3814,0.4029,0.4046
4,1.6831803758621215,1.6831092519760131,0.395325,0.4153,0.4132
5,1.652031218600273,1.6349056513786315,0.408075,0.4243,0.4261
6,1.6220460160732268,1.5937966150283813,0.420125,0.4416,0.4446
7,1.5967988316774369,1.5917016010284424,0.43115,0.4387,0.4402
8,1.5709305728912353,1.5596635934829712,0.4404,0.4566,0.4523
9,1.5492330373764038,1.547885920906067,0.448975,0.4551,0.4566
10,1.5304475576877594,1.5308215344429017,0.4563,0.4603,0.4675
11,1.5132499490499496,1.5057642669677735,0.460925,0.4709,0.4715
12,1.4938777087450028,1.5291467348098755,0.466325,0.4674,0.4583
13,1.4832825019598008,1.4869751406669616,0.473125,0.4764,0.4742
14,1.4693490018844604,1.4796120208740235,0.476625,0.4839,0.4797
15,1.4508483345746994,1.4638001413345336,0.483775,0.4887,0.4831
16,1.4417496523141862,1.453085699081421,0.4874,0.4907,0.4879
17,1.427647072505951,1.4595031429290772,0.49225,0.4877,0.4909
18,1.4178409015178681,1.4423939138412476,0.4959,0.4963,0.4928
19,1.4079908910036087,1.4607948267936706,0.499225,0.4876,0.49
20,1.40040390355587,1.424465313720703,0.505425,0.5007,0.5025
21,1.3901892340183257,1.4293058648109436,0.503925,0.4954,0.4968
22,1.3799083853960037,1.4488233936309813,0.51,0.4915,0.4861
23,1.3689425254821777,1.4127686100006103,0.51405,0.506,0.4963
24,1.3660638029813768,1.4125980625152588,0.517025,0.5071,0.5002
25,1.3544514283895492,1.4000994025230409,0.521425,0.5083,0.5067
26,1.3475674902439116,1.4211656561851502,0.5202,0.502,0.5035
27,1.3395353644609451,1.3996147636413574,0.5213,0.508,0.4966
28,1.3328925857543945,1.395651570892334,0.52705,0.5112,0.5073
29,1.3256003876447677,1.394910831451416,0.5254,0.5121,0.5074
30,1.322737885928154,1.3995775341033936,0.53035,0.5145,0.5062
31,1.3127960697889327,1.3753318347930907,0.53185,0.5146,0.5051
32,1.3086010981559753,1.3878490654945375,0.534925,0.5167,0.5025
33,1.3004822910308838,1.3835091851234436,0.53735,0.5197,0.511
34,1.2962370370030403,1.378837856388092,0.539475,0.5233,0.5078
35,1.287338439965248,1.387906290435791,0.54215,0.5119,0.5075
36,1.2853314499020576,1.3721078548431396,0.5431,0.5247,0.5114
37,1.2801130482435226,1.3644524298667908,0.545575,0.5241,0.5161
38,1.2693410463094712,1.365368085861206,0.548525,0.5264,0.5127
39,1.2661240898847579,1.3871856019020081,0.54975,0.5151,0.5081
40,1.261886498093605,1.3675150250434875,0.551775,0.5237,0.5154
41,1.2612944633960723,1.3573540303230285,0.549225,0.5283,0.5206
42,1.2516233456015586,1.3567301090240478,0.554075,0.5281,0.5236
43,1.2479002121925353,1.364583770942688,0.555025,0.5235,0.5209
44,1.2459592868328095,1.3493324056625366,0.5562,0.5264,0.5171
45,1.2367568670272828,1.3498103512763977,0.559825,0.5313,0.5216
46,1.2344376426696777,1.365265701675415,0.559575,0.5268,0.5177
47,1.2294101876974106,1.3423067125320434,0.564225,0.5347,0.5273
48,1.2285477179646491,1.3488068556785584,0.563025,0.5334,0.5211
49,1.2233027617931367,1.3855520321846009,0.564475,0.5165,0.51
50,1.2208311567544936,1.3424503785133362,0.564625,0.5292,0.5236
51,1.2108942960619926,1.3681795773506165,0.568275,0.5224,0.5169
52,1.20785886824131,1.3506146730422974,0.5701,0.5277,0.5181
53,1.2057556711673736,1.344562010192871,0.570675,0.5354,0.5267
54,1.202845858860016,1.3463269062042236,0.5721,0.5308,0.5199
55,1.1954388187885285,1.3858107223510743,0.574025,0.5179,0.5132
56,1.1893403871536254,1.3517294714927672,0.575025,0.5301,0.5203
57,1.1889928213834762,1.3517613295555115,0.57575,0.5331,0.5222
58,1.1824802353382111,1.369241924571991,0.579575,0.5278,0.5212
59,1.1832344504117966,1.3555722889900208,0.57865,0.5248,0.5224
60,1.1801343170046807,1.3513993101119994,0.57915,0.5319,0.5256
61,1.1703685986757277,1.3840913144111633,0.58255,0.5197,0.5209
62,1.173144255208969,1.3481802270889283,0.581425,0.5317,0.5214
63,1.164140792131424,1.3331303304672242,0.585775,0.5315,0.5235
64,1.1599438007712364,1.3503800219535829,0.587775,0.5296,0.5207
65,1.1608002466917038,1.3652317638397218,0.586875,0.5292,0.5171
66,1.1555207743644715,1.3607145273208618,0.58765,0.5243,0.5217
67,1.1550129283070565,1.3403775867462158,0.587575,0.5318,0.5234
68,1.1511213320851326,1.3563786412239074,0.5894,0.5266,0.5237
69,1.1501847260713578,1.337898701953888,0.58895,0.5413,0.5269
70,1.145759907901287,1.3471130304336547,0.591225,0.5351,0.5281
71,1.1423932413697242,1.3439281113624573,0.590625,0.5328,0.5224
72,1.138677052974701,1.3752583464622496,0.594375,0.5285,0.517
73,1.1422196687698365,1.357354750919342,0.591475,0.5301,0.5211
74,1.133803144109249,1.3519677507400514,0.5959,0.5333,0.5223
75,1.1291195546627044,1.3562491025924683,0.596725,0.5362,0.5258
76,1.1210580253720284,1.3512398830413819,0.602,0.5276,0.5211
77,1.1209293932795525,1.3434710775375367,0.599875,0.5313,0.5234
78,1.1215301644325257,1.3599678303718568,0.5966,0.5288,0.5208
79,1.1161202574968339,1.3656416533470155,0.60095,0.5293,0.5255
80,1.1128338063120842,1.3438852463722228,0.601175,0.5335,0.5235
81,1.1094097030997276,1.350640188407898,0.604375,0.5315,0.5245
82,1.1120504618406295,1.3648374063491822,0.603525,0.5301,0.5227
83,1.1091196405053139,1.3696913562774657,0.60535,0.5297,0.5258
84,1.1039575610518455,1.3861406278610229,0.606725,0.5256,0.5176
85,1.099374372434616,1.3766808473587036,0.6104,0.5222,0.5156
86,1.098700247311592,1.365095049571991,0.6081,0.5302,0.5233
87,1.0975267692685127,1.3528480976581574,0.6078,0.5323,0.5246
88,1.0913118552327157,1.3665613260269165,0.6125,0.5278,0.5254
89,1.0910537563085556,1.362822877216339,0.61155,0.5258,0.523
90,1.0857410168647765,1.361525315952301,0.6124,0.5321,0.5319
91,1.0866593118071557,1.3477428028583527,0.615425,0.5345,0.53
92,1.0836599612236022,1.3617314445495605,0.613925,0.5322,0.5199
93,1.0785396070241928,1.3532784319400788,0.61415,0.53,0.5218
94,1.0747165057420731,1.367484472465515,0.616725,0.5269,0.5218
95,1.078519470024109,1.3572341682434081,0.6156,0.5365,0.5244
96,1.0746590336084365,1.3589562294960023,0.618325,0.5299,0.5261
97,1.0669281207323074,1.3609322749137878,0.619525,0.5318,0.5227
98,1.0658339733600617,1.359640389060974,0.620275,0.5338,0.529
99,1.0665218795657159,1.3844524819374084,0.618425,0.5192,0.5175
100,1.064047900378704,1.382397083377838,0.6189,0.5283,0.5223
101,1.0598981392264366,1.3666725341796875,0.620225,0.5288,0.5229
102,1.059087230193615,1.3551932101249695,0.62315,0.5301,0.5222
103,1.0587503279566766,1.4063256572723388,0.625175,0.5268,0.5188
104,1.054086270213127,1.3704036959648132,0.622225,0.5306,0.5231
105,1.0535815873384475,1.3919029948711394,0.62555,0.5257,0.525
106,1.0571519119024277,1.3720031312942504,0.624525,0.5285,0.5246
107,1.049692632675171,1.411843075466156,0.624975,0.5239,0.5219
108,1.0445481383442878,1.3826407853126526,0.6267,0.5306,0.5222
109,1.0460643726348877,1.3806849595069886,0.625,0.5264,0.5169
110,1.0402060696721076,1.3749195568084718,0.62685,0.5371,0.5256
111,1.0378599722504616,1.3840489247322083,0.629875,0.5226,0.5198
112,1.036463317489624,1.3783862275600434,0.628925,0.5236,0.5232
113,1.0375035570621491,1.3843310800552369,0.628225,0.531,0.5236
114,1.0335694730758667,1.3873374260902405,0.63425,0.5331,0.5234
115,1.0300690008163451,1.379332126903534,0.632175,0.5292,0.52
116,1.0215063051700592,1.3948632802963257,0.63635,0.5271,0.5198
117,1.027323489844799,1.3796057423591614,0.637175,0.5315,0.5255
118,1.0220598523020745,1.3891894009590149,0.63475,0.527,0.5239
119,1.0209717852950095,1.4060271723270417,0.636225,0.5252,0.5176
120,1.0166633843660355,1.3850247255325316,0.63845,0.5287,0.5205
121,1.0200703402280809,1.4012945266246795,0.6378,0.5296,0.5188
122,1.0207907016515732,1.4161773468017578,0.63505,0.5234,0.5133
123,1.0154786704659462,1.4432834714889526,0.63755,0.5195,0.5152
124,1.0074039369225503,1.3904631577968598,0.6431,0.5315,0.5275
125,1.0122661454916,1.3995151132583619,0.640125,0.5291,0.5215
126,1.001112818455696,1.4059274957180024,0.6433,0.5276,0.5182
127,1.0007169026017189,1.3930418491363525,0.643925,0.5313,0.5257
128,0.9994199949860573,1.3921446917533875,0.6442,0.5292,0.5263
129,1.0063334084868432,1.379954262971878,0.6404,0.5284,0.5261
130,0.9976979422807694,1.4012295471191407,0.644425,0.5273,0.5243
131,0.9959115300774575,1.401234241580963,0.646175,0.5221,0.5223
132,0.9948490556836128,1.4007207201957703,0.64405,0.5269,0.5206
133,0.9927896748661995,1.3944478878498077,0.645475,0.5283,0.52
134,0.993264594078064,1.4008687685966492,0.646325,0.5258,0.5202
135,0.9938465117692947,1.391589479827881,0.6437,0.5319,0.5219
136,0.9859216627597809,1.4388704006195068,0.6484,0.5245,0.5153
137,0.9859091714739799,1.4125824234962463,0.647125,0.5244,0.5197
138,0.9879094005227089,1.4074282480239868,0.648375,0.5224,0.517
139,0.9817455859303474,1.40846149020195,0.649325,0.5281,0.5197
140,0.9752541554570198,1.4279673492431642,0.65005,0.5253,0.5214
141,0.9839619799971581,1.4139121353626252,0.6508,0.5246,0.5184
142,0.9752093354046345,1.4274332868099213,0.6502,0.5275,0.5174
143,0.9763987879157067,1.41986300201416,0.649225,0.5291,0.5195
144,0.972737619960308,1.4245793271064757,0.654225,0.5227,0.5195
145,0.9697565891981125,1.4359414510250093,0.655225,0.5207,0.5111
146,0.9665320245385169,1.4240020815849304,0.65525,0.5236,0.5163
147,0.9612591651320458,1.4264827896595,0.6572,0.5242,0.5129
148,0.9655641659498214,1.4487266869544984,0.65585,0.5258,0.5197
149,0.960478550195694,1.3952895529270173,0.659725,0.5285,0.5205
150,0.9621599177718163,1.4205476090431213,0.6578,0.5322,0.5205
151,0.9628063639998437,1.4233518683433533,0.6574,0.5251,0.5145
152,0.9578884490191937,1.4158717493057251,0.65925,0.5272,0.5189
153,0.9580304579734802,1.435793050956726,0.658175,0.5229,0.5188
154,0.9553972079992294,1.438515413761139,0.66165,0.5243,0.5158
155,0.9513408218026161,1.4259612104415893,0.6601,0.5283,0.5232
156,0.9484967391252518,1.4268560346603394,0.66055,0.528,0.5193
157,0.9472529109477997,1.4410701204299927,0.663025,0.5244,0.5173
158,0.9495759504079819,1.418402741289139,0.6614,0.5292,0.5243
159,0.9468111255645751,1.4291150782585145,0.66275,0.5319,0.5238
160,0.9416057945251465,1.4612281835079193,0.6645,0.5231,0.5135
161,0.9402860727667809,1.4478053779602051,0.660975,0.522,0.5155
162,0.9344153880834579,1.4445296079635621,0.667375,0.522,0.5147
163,0.9318889550447464,1.4588253032684326,0.667325,0.5209,0.5165
164,0.9392291995763778,1.418186509513855,0.665675,0.5214,0.5161
165,0.93590634547472,1.4681443549156188,0.66395,0.5203,0.5145
166,0.9302637168645859,1.449784287405014,0.668125,0.523,0.5185
167,0.9278374292075634,1.459463337135315,0.6697,0.5221,0.5172
168,0.9300244326591491,1.4525822031021118,0.6684,0.5249,0.5182
169,0.9271643552005291,1.4441850370407106,0.66925,0.5246,0.5202
170,0.9259111434936523,1.4590702051639557,0.668775,0.5261,0.519
171,0.9225577487945557,1.4457864429473877,0.670925,0.5245,0.5174
172,0.921995883500576,1.5004968831539154,0.670625,0.5167,0.5163
173,0.9272884011387825,1.4713279086112976,0.668875,0.5171,0.5133
174,0.9220877451896667,1.4506313389778138,0.670425,0.5315,0.5212
175,0.9241347698450089,1.46876385345459,0.671425,0.5231,0.5179
176,0.9216607744693757,1.4617544513702392,0.672525,0.523,0.5219
177,0.9163680592656136,1.4568905831336976,0.6728,0.5191,0.5147
178,0.9172103865504265,1.4781684249877929,0.6743,0.5211,0.5138
179,0.9158631358981133,1.4618541869163513,0.673675,0.5234,0.5146
180,0.9143086054980755,1.4684073189735412,0.675175,0.5216,0.5163
181,0.9089197434723377,1.455685781478882,0.6784,0.5223,0.5207
182,0.9084678624331951,1.4877502076148987,0.673575,0.5238,0.5138
183,0.911294589138031,1.4793820437431335,0.6746,0.5195,0.513
184,0.905214479637146,1.46286605052948,0.676625,0.5257,0.5236
185,0.9066894185602665,1.4762756412506104,0.674125,0.5214,0.5201
186,0.909630642080307,1.47131263422966,0.674075,0.5281,0.5212
187,0.9009579499840736,1.4637059933185577,0.68035,0.523,0.513
188,0.8968589342474937,1.4576342351913452,0.681075,0.5243,0.5203
189,0.8996090922296047,1.4924787978649139,0.68075,0.5189,0.5111
190,0.8972723758101463,1.4834993123054505,0.67945,0.516,0.5115
191,0.906001179766655,1.4618999754905702,0.676625,0.5245,0.5198
192,0.8919824361383915,1.476219054889679,0.68165,0.5155,0.5149
193,0.8904014290332795,1.497601003742218,0.683025,0.5214,0.5188
194,0.8894267257928848,1.4760214460372925,0.682975,0.5209,0.5206
195,0.8960872650504113,1.4746327892303466,0.680725,0.5253,0.5211
196,0.8854176480829715,1.526713911151886,0.685475,0.5176,0.5122
197,0.8916317736327648,1.483644065284729,0.67945,0.5214,0.5161
198,0.8840614405691624,1.4924262908935546,0.686825,0.5113,0.5076
199,0.8891999609231949,1.5320402218818665,0.6818,0.5216,0.5141
200,0.8799049132347107,1.487102348136902,0.684675,0.519,0.5109
