epoch,lossTrain,lossVal,accuracyTrain,accuracyVal,accuracyTest
1,1.8712513171672822,1.6359356233596802,0.302025,0.4012,0.4036
2,1.579649629330635,1.4812843709945678,0.425125,0.4624,0.4631
3,1.4687645753860474,1.4280657671928405,0.468275,0.4723,0.481
4,1.3945394819259644,1.3516278962135315,0.4957,0.5093,0.5134
5,1.3275870919942856,1.2884221420288087,0.521075,0.5319,0.5384
6,1.2786152339696883,1.2564232739448546,0.5404,0.5401,0.5524
7,1.2323259345293045,1.2308979244709015,0.5567,0.5538,0.5623
8,1.1909986270427704,1.183018092060089,0.574275,0.5702,0.582
9,1.152922916483879,1.1703710768222808,0.59015,0.574,0.5892
10,1.1213325576663018,1.1422179359912872,0.59855,0.5892,0.5974
11,1.0916030512928963,1.112347146511078,0.6111,0.5996,0.6185
12,1.0612778222322463,1.1579639877319337,0.621975,0.5904,0.5964
13,1.0368823311328887,1.092111718416214,0.6322,0.6064,0.6153
14,1.015422987473011,1.0614575480461121,0.640525,0.6226,0.6337
15,0.9893044819951058,1.0530150141239165,0.648675,0.6232,0.6385
16,0.9687173848867416,1.0493281759738922,0.656625,0.6272,0.637
17,0.948293584549427,1.0197841229915618,0.6641,0.6365,0.6443
18,0.926465967798233,1.0028515496253967,0.669875,0.6457,0.6577
19,0.9093009519875049,0.9996567217826843,0.6782,0.6465,0.66
20,0.8891509721517563,1.0338116657733918,0.68435,0.6409,0.6505
21,0.8723084514439106,0.9813268763542176,0.6912,0.6583,0.6609
22,0.8538126123905182,0.9810753011226654,0.69715,0.6545,0.6632
23,0.8362112299919129,0.9671523437023163,0.70545,0.6605,0.6646
24,0.8184150612294674,0.9512854681968689,0.70915,0.6652,0.6731
25,0.8021297260820865,0.9901061756372451,0.7161,0.6553,0.6643
26,0.783579903703928,0.9583562296390533,0.723225,0.666,0.6694
27,0.7733978537201881,0.9491487233161926,0.728475,0.6679,0.6743
28,0.7533840032160282,0.951487728881836,0.732625,0.6706,0.6742
29,0.7449369213879108,0.9528989866495132,0.73625,0.6748,0.6781
30,0.7304478210091591,0.9420211669921875,0.741975,0.6752,0.6738
31,0.7166979791283608,0.9440962094068527,0.746125,0.678,0.6821
32,0.6994660942971707,0.9360358366966247,0.752425,0.6806,0.6804
33,0.6879640181005001,0.9427349366188049,0.75715,0.6779,0.6809
34,0.6753273303061724,0.9389150386810303,0.762,0.6784,0.6763
35,0.6586104721277952,0.9346991270542144,0.766375,0.6822,0.6861
