epoch,lossTrain,lossVal,accuracyTrain,accuracyVal,accuracyTest
1,1.8471652171611785,1.6235039737701416,0.316075,0.4045,0.4114
2,1.5704718024492264,1.5056261281967163,0.4222,0.4518,0.4512
3,1.4728242874860764,1.4101652861595153,0.4623,0.4903,0.485
4,1.410633220243454,1.4003272185325621,0.4879,0.49,0.4958
5,1.3466137488842012,1.321841122531891,0.514775,0.5233,0.523
6,1.2973444935321807,1.2897962169647217,0.53195,0.5323,0.5298
7,1.251914933347702,1.2232452667236329,0.5497,0.5601,0.5594
8,1.2107937960863113,1.1787967082977295,0.5667,0.5806,0.5819
9,1.1727450691461563,1.1465485770702362,0.580525,0.5887,0.5947
10,1.1352948519229888,1.1530303197860718,0.5935,0.584,0.5851
11,1.1036251356005669,1.117071922969818,0.6077,0.6056,0.602
12,1.0730752462744713,1.0978439542293548,0.619,0.6115,0.6053
13,1.046325238120556,1.057203178501129,0.627775,0.6295,0.6278
14,1.020649911260605,1.0445111534118652,0.6374,0.6328,0.6346
15,0.9980850425004959,1.036598707294464,0.6473,0.6336,0.6396
16,0.9734804456472397,1.0252512883663178,0.65585,0.6413,0.638
17,0.9547557994127274,1.000749128961563,0.66275,0.649,0.6508
18,0.9314414578676223,0.986552166557312,0.67165,0.648,0.6545
19,0.9094076852321624,0.9830141507148743,0.6791,0.653,0.6571
20,0.8936065907001496,0.9822727579116821,0.685425,0.6567,0.6574
21,0.8724538412213325,0.9680125704288483,0.694,0.665,0.6614
22,0.8532402726709842,0.9538388048171997,0.69955,0.6638,0.664
23,0.8403355988323689,0.9526971162796021,0.7051,0.6669,0.67
24,0.8244674283027649,0.9496916799783707,0.71095,0.6666,0.6647
25,0.8108513926565647,0.9305582543373108,0.713325,0.6736,0.6791
26,0.7932303050458431,0.9451063791275024,0.721175,0.668,0.6747
27,0.7784541254937649,0.9342362672328949,0.728225,0.676,0.6766
28,0.7623245129644871,0.9269818544149399,0.7311,0.6739,0.6782
29,0.7489313983082772,0.9331608031749725,0.733825,0.6788,0.6774
30,0.7349687317669391,0.9453916952848435,0.740925,0.6755,0.6698
31,0.7202629322111607,0.8979000988960266,0.74755,0.6892,0.6842
32,0.7047946113198995,0.9221478061676025,0.751375,0.6819,0.6906
33,0.6937584417104721,0.8932810487747193,0.75505,0.6925,0.6904
34,0.6771423697799445,0.8968600008249283,0.76195,0.6942,0.6933
35,0.6638198283791542,0.9098578468561173,0.76545,0.6896,0.6927
36,0.6552050006866456,0.9048531947374344,0.767625,0.6908,0.6928
37,0.6394950038045645,0.9191577708244324,0.7759,0.6937,0.6938
38,0.629751571315527,0.9286146889448166,0.77835,0.6878,0.6905
39,0.6159453969135881,0.9492009317398071,0.783175,0.6844,0.6871
40,0.6042026292264462,0.9164194585084915,0.785325,0.6939,0.6916
41,0.5929503160864115,0.9278645246505738,0.789925,0.6916,0.6877
42,0.5834590684205294,0.9543565856218338,0.793425,0.6845,0.6865
43,0.573012846750021,0.9276383138895035,0.796825,0.6932,0.694
44,0.5640663998126983,0.9477654550790787,0.801375,0.6879,0.6917
45,0.55285292083323,0.9207275088310242,0.804625,0.6976,0.697
46,0.5352757635861635,0.9447886432766914,0.81185,0.693,0.6964
47,0.5288463788449764,0.9508593380689621,0.81355,0.6926,0.697
48,0.5176978270500898,0.9652564830541611,0.817125,0.695,0.6974
49,0.5103067235335708,0.9686181967973709,0.821075,0.6935,0.6941
50,0.4974386261850596,0.9801983020544052,0.824275,0.6919,0.6889
51,0.4923536261126399,0.9875712760686874,0.82535,0.6893,0.6944
52,0.48032630490362643,0.9777954014778137,0.831575,0.6987,0.6994
53,0.4704572247251868,0.9998862571716308,0.832825,0.6946,0.6978
54,0.4575105652987957,1.0111766105890274,0.8386,0.6934,0.695
