epoch,lossTrain,lossVal,accuracyTrain,accuracyVal,accuracyTest
1,1.9520590698242188,1.8176473054885864,0.293275,0.343,0.3509
2,1.7835866508483886,1.7188999629974364,0.361175,0.3796,0.389
3,1.710912949514389,1.6699898597717284,0.3895,0.4047,0.418
4,1.6584136076450349,1.640277547454834,0.41045,0.4158,0.4252
5,1.6220412665843964,1.59616449842453,0.42555,0.4297,0.4398
6,1.593134157729149,1.589781983757019,0.43555,0.4328,0.4459
7,1.5694479176282883,1.5600001749038697,0.442875,0.4391,0.4506
8,1.5450141007184983,1.5316720350265502,0.451175,0.4523,0.4668
9,1.525984349489212,1.536914577960968,0.460275,0.4498,0.4607
10,1.5070557951450347,1.5140760285377501,0.465675,0.4594,0.4686
11,1.4922846351861954,1.5018528300285339,0.471675,0.4642,0.4708
12,1.4779162971019746,1.4982938863754272,0.474325,0.4694,0.4777
13,1.4627433309078217,1.486308210849762,0.4828,0.4711,0.4806
14,1.4563756119728088,1.48100585231781,0.48515,0.4736,0.4823
15,1.4366199773073196,1.4810573141098022,0.492275,0.4719,0.4803
16,1.429130908036232,1.4461133485794067,0.49395,0.4808,0.4932
17,1.4162518032073974,1.4439289309501648,0.497875,0.4855,0.4976
18,1.4092432363033294,1.4490031449317933,0.4988,0.4851,0.4916
19,1.3969808114767075,1.437696848297119,0.50405,0.489,0.4918
20,1.3859536096334457,1.4246898115158082,0.505375,0.4902,0.498
21,1.3784210996627808,1.4299393074035645,0.510575,0.4934,0.4923
22,1.369359586906433,1.4138533897399903,0.513325,0.498,0.5032
23,1.362390519309044,1.4095017675399781,0.51865,0.5027,0.5083
24,1.3522635159730911,1.4134837575912476,0.520075,0.5041,0.5075
25,1.3453268829345704,1.4027278238296508,0.5232,0.5024,0.5083
26,1.333908829188347,1.4245484696388244,0.5218,0.4944,0.4972
27,1.3301506925106048,1.4229331559181213,0.52595,0.5001,0.5042
28,1.3191914051532745,1.4080203796386719,0.53215,0.4977,0.5024
29,1.3157434968948365,1.3861880677223206,0.5306,0.5107,0.51
30,1.310660482120514,1.386676590538025,0.5344,0.5036,0.5119
31,1.30176269197464,1.3959682063102723,0.5354,0.5048,0.5117
32,1.2986874247074127,1.4212578181266784,0.538725,0.4985,0.5067
33,1.295368487405777,1.3888027275085448,0.537225,0.5096,0.512
34,1.2896942144393921,1.3969354216575622,0.53965,0.5029,0.5077
35,1.2774329286336898,1.3848490676879883,0.54695,0.5093,0.5126
36,1.2728765374898912,1.3770951699256897,0.545775,0.5132,0.5166
37,1.2705901392817498,1.3820042687416076,0.54745,0.5101,0.5149
38,1.2597619020223618,1.3745449011802673,0.550525,0.5172,0.5157
39,1.258364451289177,1.3758063961029052,0.5521,0.5168,0.5151
40,1.2523932054758071,1.3918190187454225,0.55465,0.5111,0.5099
41,1.2479996217250824,1.366316086101532,0.553825,0.5207,0.5232
42,1.2443879162311553,1.3653441033363343,0.555875,0.5161,0.5177
43,1.2407322988629341,1.375752256298065,0.556625,0.5185,0.5205
44,1.2350749390125275,1.3856683876991271,0.557575,0.5151,0.5125
45,1.2283717267990113,1.3628101585388184,0.5607,0.5193,0.5231
46,1.2283059101223945,1.3858354803085327,0.56305,0.5121,0.5118
47,1.2202267546415329,1.3729074005126953,0.564125,0.5199,0.5244
48,1.2184215441465378,1.3841078441619874,0.565,0.5132,0.5153
49,1.213498437190056,1.3594097792625428,0.5651,0.5216,0.5198
50,1.208920529448986,1.3726316913604737,0.56935,0.5196,0.5212
51,1.2033719878911973,1.3740709791183472,0.570975,0.5158,0.5156
52,1.2011789345860482,1.3797167882919312,0.56935,0.5199,0.5196
53,1.1984944302082061,1.3927668555259705,0.572075,0.5138,0.5186
54,1.195242360150814,1.3774224270820619,0.572625,0.5216,0.5177
55,1.1914783861398697,1.3712951552391053,0.57525,0.5207,0.5211
56,1.1819085331082344,1.3850440336227416,0.5769,0.5189,0.5157
57,1.1821367728948593,1.3674028197288512,0.579525,0.5221,0.5249
58,1.1744044592142104,1.3655896637916565,0.581425,0.5225,0.5264
59,1.1686671359181404,1.3644805926322936,0.581425,0.5229,0.5252
60,1.1676109475135803,1.370143661403656,0.583325,0.522,0.5279
61,1.167446103465557,1.374021481513977,0.58355,0.5231,0.525
62,1.1623344349384308,1.359356101322174,0.585375,0.5324,0.5298
63,1.1588919829130173,1.3695234904289246,0.587225,0.5202,0.5156
64,1.1548408650994302,1.3582633934020996,0.589,0.5279,0.5281
65,1.1468706080436706,1.3836368679046631,0.5883,0.5191,0.5245
66,1.141482315671444,1.3658395470142364,0.589775,0.5218,0.517
67,1.1454564544558525,1.3837998378753662,0.589375,0.5221,0.5227
68,1.1393948774337768,1.3617673015594483,0.5914,0.5265,0.5253
69,1.1327599303841591,1.3968505303382874,0.5988,0.5153,0.5183
70,1.135674617421627,1.375003600502014,0.59575,0.5227,0.5212
71,1.1298142716884614,1.4212748210906982,0.595325,0.5164,0.515
72,1.1307814924478532,1.3648450028419494,0.5966,0.5282,0.5244
73,1.1228132767915726,1.3737736071586608,0.5979,0.5259,0.5249
74,1.1205779528737068,1.3699886650085449,0.601625,0.5274,0.5282
75,1.114810188615322,1.3738057155609131,0.5982,0.5268,0.5255
76,1.1162055896282197,1.364027812576294,0.602425,0.5271,0.5245
77,1.1121057688355447,1.371296263408661,0.60045,0.5291,0.5263
78,1.106154439496994,1.3897862743377685,0.605475,0.5185,0.5157
79,1.1104365259051323,1.366708946800232,0.604275,0.5287,0.5297
80,1.1019032675862312,1.3692169692039489,0.60555,0.5305,0.5291
81,1.0988414164662361,1.381278210926056,0.606725,0.5249,0.5253
82,1.097149496293068,1.3776116629600526,0.60885,0.5224,0.5177
83,1.093593451499939,1.3650562202453613,0.607575,0.5267,0.5335
84,1.085571210026741,1.3704610092163085,0.612125,0.5255,0.5229
85,1.0907630813241005,1.393483498764038,0.609925,0.5211,0.5235
86,1.082209503376484,1.4157729566574098,0.610225,0.5242,0.5176
87,1.0841366492748261,1.3836515642166138,0.613975,0.5267,0.5319
88,1.0761680487036704,1.4030280205726624,0.6158,0.5244,0.5241
89,1.0756197517752648,1.3818644519805907,0.61495,0.5176,0.5239
90,1.0695517173290252,1.3751801782608033,0.617575,0.5262,0.5275
