    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
|-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------|
| train_cifar_40296_00000 | TERMINATED | 192.168.0.187:50986   |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       120 |        84 | 1.1037   |     0.6111 |                   50 |
| train_cifar_40296_00001 | TERMINATED | 192.168.0.187:51013   |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       120 |        84 | 1.02505  |     0.6526 |                   50 |
| train_cifar_40296_00002 | TERMINATED | 192.168.0.187:89258   |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       120 |        84 | 0.98392  |     0.6659 |                   50 |
| train_cifar_40296_00003 | TERMINATED | 192.168.0.187:89859   |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       120 |        84 | 1.80347  |     0.3379 |                    1 |
| train_cifar_40296_00004 | TERMINATED | 192.168.0.187:92123   |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       120 |        84 | 1.80517  |     0.3388 |                    1 |
| train_cifar_40296_00005 | TERMINATED | 192.168.0.187:94758   |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       120 |        84 | 1.00237  |     0.6574 |                   50 |
| train_cifar_40296_00006 | TERMINATED | 192.168.0.187:124222  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       120 |        84 | 1.79147  |     0.3429 |                    1 |
| train_cifar_40296_00007 | TERMINATED | 192.168.0.187:127246  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       120 |        84 | 1.01134  |     0.662  |                   50 |
| train_cifar_40296_00008 | TERMINATED | 192.168.0.187:130023  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       120 |        84 | 1.60166  |     0.4174 |                    2 |
