+-------------------------+------------+----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+---------+------------+----------------------+
| Trial name              | status     | loc                  |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |    loss |   accuracy |   training_iteration |
|-------------------------+------------+----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+---------+------------+----------------------|
| train_cifar_042b3_00000 | TERMINATED | 192.168.0.187:15334  |            8 |     0.0218612   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31176 |     0.0995 |                    1 |
| train_cifar_042b3_00001 | TERMINATED | 192.168.0.187:15361  |           16 |     0.0123249   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30706 |     0.0965 |                    8 |
| train_cifar_042b3_00002 | TERMINATED | 192.168.0.187:16532  |           32 |     0.00591975  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30272 |     0.1065 |                   50 |
| train_cifar_042b3_00003 | TERMINATED | 192.168.0.187:22381  |            8 |     0.000129507 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.33057 |     0.6803 |                   50 |
| train_cifar_042b3_00004 | TERMINATED | 192.168.0.187:41973  |           16 |     0.000183788 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.30503 |     0.6819 |                   50 |
| train_cifar_042b3_00005 | TERMINATED | 192.168.0.187:70948  |           32 |     0.000467477 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.19805 |     0.6825 |                   32 |
| train_cifar_042b3_00006 | TERMINATED | 192.168.0.187:86714  |            8 |     0.000697719 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.03228 |     0.6518 |                   16 |
| train_cifar_042b3_00007 | TERMINATED | 192.168.0.187:87700  |           16 |     0.000492819 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.32959 |     0.5406 |                    4 |
| train_cifar_042b3_00008 | TERMINATED | 192.168.0.187:90149  |           32 |     0.0715195   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31386 |     0.1002 |                    1 |
| train_cifar_042b3_00009 | TERMINATED | 192.168.0.187:90941  |            8 |     0.00188115  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.58243 |     0.4145 |                    1 |
| train_cifar_042b3_00010 | TERMINATED | 192.168.0.187:91928  |           16 |     0.00146479  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.08768 |     0.6377 |                   16 |
| train_cifar_042b3_00011 | TERMINATED | 192.168.0.187:101289 |           32 |     0.00299811  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.4155  |     0.4785 |                    2 |
| train_cifar_042b3_00012 | TERMINATED | 192.168.0.187:102518 |            8 |     0.0438603   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30822 |     0.0995 |                    1 |
| train_cifar_042b3_00013 | TERMINATED | 192.168.0.187:102519 |           16 |     0.000262702 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.01289 |     0.6685 |                   16 |
| train_cifar_042b3_00014 | TERMINATED | 192.168.0.187:103894 |           32 |     0.000264728 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.41648 |     0.4861 |                    2 |
| train_cifar_042b3_00015 | TERMINATED | 192.168.0.187:105416 |            8 |     0.000850391 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.12023 |     0.6589 |                   16 |
| train_cifar_042b3_00016 | TERMINATED | 192.168.0.187:112005 |           16 |     0.0475181   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31392 |     0.0964 |                    1 |
| train_cifar_042b3_00017 | TERMINATED | 192.168.0.187:112983 |           32 |     0.00192511  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.58919 |     0.4136 |                    1 |
| train_cifar_042b3_00018 | TERMINATED | 192.168.0.187:113398 |            8 |     0.00047437  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.25431 |     0.6523 |                   32 |
| train_cifar_042b3_00019 | TERMINATED | 192.168.0.187:119456 |           16 |     0.000746186 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.08845 |     0.6532 |                   16 |
| train_cifar_042b3_00020 | TERMINATED | 192.168.0.187:128901 |           32 |     0.00718007  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30309 |     0.1002 |                    1 |
| train_cifar_042b3_00021 | TERMINATED | 192.168.0.187:129690 |            8 |     0.000225472 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.47419 |     0.676  |                   50 |
| train_cifar_042b3_00022 | TERMINATED | 192.168.0.187:180982 |           16 |     0.000276216 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.18636 |     0.5812 |                    4 |
| train_cifar_042b3_00023 | TERMINATED | 192.168.0.187:185770 |           32 |     0.000656919 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.36218 |     0.6543 |                   50 |
| train_cifar_042b3_00024 | TERMINATED | 192.168.0.187:202372 |            8 |     0.0051592   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30269 |     0.1043 |                    1 |
